,index,0
0,energy,467
1,released,7
2,solar,211
3,flare,54
4,partitioned,5
5,thermal,146
6,nonthermal,19
7,particle,112
8,lost,8
9,conduction,17
10,radiation,108
11,broad,79
12,range,247
13,wavelengths,45
14,difficult,49
15,determine,130
16,conductive,9
17,losses,39
18,radiated,4
19,transition,148
20,region,224
21,temperatures,72
22,impulsive,3
23,phases,55
24,flares,41
25,measurements,195
26,vi,7
27,photons,39
28,produced,59
29,subsequently,17
30,scattered,26
31,ions,40
32,corona,26
33,log,19
34,luminosities,31
35,compare,109
36,rates,80
37,increase,79
38,deduced,11
39,rhessi,5
40,xray,205
41,areas,33
42,images,86
43,estimate,143
44,loop,66
45,volumes,10
46,crosssectional,2
47,scale,171
48,lengths,11
49,phase,284
50,exceed,7
51,minutes,11
52,smaller,74
53,unless,11
54,filling,18
55,factor,129
56,emitting,12
57,gas,332
58,estimated,71
59,hot,55
60,balanced,13
61,radiative,52
62,heating,38
63,evaporated,2
64,plasma,63
65,conclude,45
66,area,74
67,magnetic,496
68,flux,116
69,tubes,9
70,effective,190
71,measured,145
72,july,6
73,deposited,16
74,particles,128
75,exceeds,9
76,uv,61
77,rate,208
78,light,217
79,current,167
80,atmospheric,16
81,neutrino,60
82,oscillation,32
83,invisible,4
84,decay,94
85,standard,193
86,model,933
87,higgs,85
88,boson,27
89,pseudoscalar,8
90,mesons,25
91,enhanced,56
92,kk,3
93,modes,148
94,models,615
95,right,14
96,handed,2
97,singlet,16
98,neutrinos,37
99,extra,21
100,dimensions,87
101,hto,3
102,bar,37
103,restricted,20
104,parameter,228
105,space,322
106,even,170
107,demands,4
108,dimensionless,2
109,yukawa,13
110,coupling,174
111,o1,3
112,studied,163
113,scenarios,43
114,propagate,7
115,subspace,8
116,lowers,3
117,string,83
118,keeps,3
119,considered,114
120,decays,28
121,spin0,2
122,nu,15
123,found,334
124,small,250
125,measurement,105
126,consider,203
127,following,58
128,basic,41
129,learning,300
130,task,38
131,given,234
132,independent,100
133,draws,5
134,unknown,51
